Asana,Minimum_Age,Gender,Health_Issues_Addressed
Virabhadrasana,12,All,"Strengthens legs and back, improves balance, alleviates stress"
Suryanamaskara,8,All,"Improves flexibility, strengthens muscles, promotes overall health"
Parsvardhacandrasana,12,All,"Enhances balance, strengthens legs, aids digestion"
Ardha Chandrasana,12,All,"Improves posture, strengthens core, opens hips"
Padhastasana,12,All,"Stretches hamstrings, improves blood circulation, calms the mind"
Trikonasana,12,All,"Strengthens legs, opens hips, relieves back pain"
Dandayamanavibhaktapadajanusirasan,12,All,"Improves flexibility, strengthens thighs, calms the mind"
Utkatasana,12,All,"Strengthens legs and core, improves posture, enhances stamina"
Garudasana,12,All,"Enhances balance, improves concentration, relieves tension"
Dandayamanajanusirasana,12,All,"Increases flexibility, strengthens thighs and core"
Dandayamanadhanurasana,12,All,"Improves posture, enhances balance, strengthens back and legs"
Tuladandasana,12,All,"Enhances balance and concentration, strengthens core"
Vibhaktahastatuladandasana,12,All,"Improves balance, strengthens core and legs"
Dandayamanavibhaktapadapascimottanasana,12,All,"Stretches spine and legs, improves flexibility"
Tadasana,8,All,"Improves balance, strengthens legs, calms the mind"
Pada Ngusthasana,12,All,"Strengthens legs and feet, improves balance"
Vamanasana,12,All,"Enhances balance, strengthens lower body"
Khagasana,12,All,"Strengthens arms and wrists, improves balance"
Bakasana,12,All,"Strengthens arms, wrists, and core, enhances balance"
Angusthasana,12,All,"Improves flexibility, strengthens arms and core"
Pranasana,12,All,"Calms the mind, promotes relaxation"
Sukhasana,8,All,"Promotes relaxation, relieves stress, improves flexibility"
Samasana,12,All,"Enhances balance, strengthens core"
Siddhasana,12,All,"Calms the mind, aids meditation"
Bhadrasana,8,All,"Opens hips, enhances flexibility"
Svastikasana,12,All,"Promotes relaxation, improves focus"
Ardhapadmasana,12,All,"Opens hips, aids meditation"
Padmasana,12,All,"Calms the mind, promotes meditation, opens hips"
Utthitapadmasana,12,All,"Improves concentration, strengthens core"
Baddhapadmasana,12,All,"Opens hips, promotes relaxation"
Tulangulasana,12,All,"Enhances balance, strengthens core"
Garbhasana,12,All,"Promotes relaxation, calms the mind"
Matsyasana,12,All,"Opens chest, improves respiratory function"
Makarasana,12,All,"Relieves tension, improves spine flexibility"
Parvatasana,8,All,"Enhances posture, strengthens back"
Kukkutasana,12,All,"Improves balance, strengthens wrists and arms"
Savasana,8,All,"Promotes relaxation, reduces stress"
Parvanamuktasana,12,All,"Relieves gas, improves digestion"
Bhujangasana,12,All,"Strengthens spine, opens chest, improves flexibility"
Salabhasana,12,All,"Strengthens back and legs, improves posture"
Pumasalabhasana,12,All,"Strengthens back, improves posture"
Dhanurasana,12,All,"Opens chest, strengthens back and legs"
Supta Vajrasana,12,All,"Stretches thighs, improves flexibility"
Ardhakurmasana,12,All,"Improves flexibility, calms the mind"
Ustrasana,12,All,"Opens chest, improves spinal flexibility"
Sasakasana,12,All,"Stretches spine, improves posture"
Janusirasana,12,All,"Stretches hamstrings, improves flexibility"
Paschimottanasana,12,All,"Stretches spine and hamstrings, calms the mind"
Vibhaktapadapascimottanasana,12,All,"Improves flexibility, stretches spine"
Mandukasana,12,All,"Opens hips, improves flexibility"
Uttitapascimottanasana,12,All,"Stretches spine, improves flexibility"
Pumavibhaktapadajanusirasana,12,All,"Increases flexibility, strengthens legs"
Ekapadarajakapotasana,12,All,"Opens hips, improves posture"
Dandayamanapurnajanusirasana,12,All,"Improves flexibility, strengthens core"
Natarajasana,12,All,"Improves balance, strengthens legs and core"
Akarnadhanurasana,12,All,"Strengthens arms and legs, improves flexibility"
Catuskonasana,12,All,"Enhances balance, strengthens core"
Gomukhasana,12,All,"Opens hips and shoulders, improves posture"
Ardha Matsyendrasana,12,All,"Improves spinal flexibility, aids digestion"
Ekapadagokilasana,12,All,Improves balance and coordination
Ekapadasirasana,12,All,"Increases flexibility, strengthens legs"
Dvipadasirasana,12,All,"Enhances flexibility, strengthens core"
Utthitakurmasana,12,All,"Stretches spine, improves posture"
Kurmasana,12,All,"Improves flexibility, calms the mind"
Yoganidrasana,12,All,"Promotes relaxation, calms the mind"
Omkarasana,12,All,"Promotes relaxation, aids meditation"
Samkatasana,12,All,"Improves concentration, strengthens core"
Pumabhujangasana,12,All,"Strengthens spine, opens chest"
Pumadhanurasana,12,All,"Strengthens back, opens hips"
Puma-Ustrasana,12,All,"Opens chest, improves flexibility"
Urdhvadhanurasana/Chakrasana,12,All,"Improves flexibility, strengthens back and arms"
Ekapadaviparitadandasana,12,All,"Improves balance, strengthens core"
Mayurasana,12,All,"Strengthens core, improves digestion"
Baddhamayurasana,12,All,"Improves balance, strengthens arms"
Ekapadamayurasana,12,All,"Enhances balance, strengthens arms"
Ekahastamayurasana,12,All,"Strengthens arms, enhances balance"
Halasana,12,All,"Stretches spine, improves flexibility"
Sarvangasana,12,All,"Improves circulation, calms the mind"
Urdhvasarvangasana,12,All,"Strengthens core, improves circulation"
Sirsasana,12,All,"Increases focus, strengthens core and arms"
Urdhvasirsasana,12,All,"Improves focus, strengthens arms and core"
Vyaghasana,8,All,Improves flexibility and balance
Vyaghrasanavrscikasana,12,All,"Enhances flexibility, strengthens back and core"
Hastasana,8,All,"Improves posture, promotes relaxation"